movie_name,quote,ranking,score,score_num
西西里的美丽传说,美丽无罪。,64,8.8,469838
致命魔术,孪生蝙蝠侠大战克隆金刚狼。,65,8.8,438834
被嫌弃的松子的一生,以戏谑来戏谑戏谑。,66,8.9,388171
黑客帝国,视觉革命。,67,8.9,370572
让子弹飞,你给我翻译翻译，神马叫做TMD的惊喜。,68,8.7,819268
看不见的客人,你以为你以为的就是你以为的。,69,8.7,510084
拯救大兵瑞恩,美利坚精神输出大片No1.,70,8.9,318215
音乐之声,用音乐化解仇恨，让歌声串起美好。,71,8.9,294474
大闹天宫,经典之作，历久弥新。,72,9.3,148873
天使爱美丽,法式小清新。 ,73,8.7,592073
低俗小说,故事的高级讲法。,74,8.8,430945
哈利·波特与魔法石,童话世界的开端。,75,8.8,380561
勇敢的心,史诗大片的典范。,76,8.8,354059
剪刀手爱德华,浪漫忧郁的成人童话。,77,8.7,604200
沉默的羔羊,安东尼·霍普金斯的顶级表演。,78,8.8,438580
蝴蝶效应,人的命运被自己瞬间的抉择改变。,79,8.7,482306
寻梦环游记,死亡不是真的逝去，遗忘才是永恒的消亡。,80,9.0,649229
春光乍泄,爱情纠缠，男女一致。,81,8.9,319224
心灵捕手,人生中应该拥有这样的一段豁然开朗。,82,8.8,350623
猫鼠游戏,骗子大师和执著警探的你追我跑故事。 ,83,8.8,324273
入殓师,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,84,8.8,372396
布达佩斯大饭店,小清新的故事里注入了大历史的情怀。,85,8.8,426606
禁闭岛,昔日翩翩少年，今日大腹便便。,86,8.7,465330
幽灵公主,人与自然的战争史诗。,87,8.8,295217
阳光灿烂的日子,一场华丽的意淫。,88,8.8,341176
玛丽和马克思,你是我最好的朋友，你是我唯一的朋友 。,89,8.9,269115
穿条纹睡衣的男孩,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,90,9.0,207654
第六感,深入内心的恐怖，出人意料的结局。,91,8.8,292266
重庆森林,寂寞没有期限。,92,8.7,416672
狩猎,人言可畏。,93,9.1,173657
致命ID,最不可能的那个人永远是最可能的。,94,8.7,403669
断背山,每个人心中都有一座断背山。,95,8.7,400233
加勒比海盗,约翰尼·德普的独角戏。,96,8.7,449136
阿凡达,绝对意义上的美轮美奂。,97,8.6,672911
摩登时代,大时代中的人生，小人物的悲喜。,98,9.2,123184
大鱼,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,99,8.8,311274
告白,没有一人完全善，也没有一人完全恶。,100,8.7,421559
一一,我们都曾经是一一。,101,9.0,190024
射雕英雄传之东成西就,百看不厌。 ,102,8.7,340407
阳光姐妹淘,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,103,8.8,335693
甜蜜蜜,相逢只要一瞬间，等待却像是一辈子。,104,8.8,278139
消失的爱人,年度最佳date movie。,105,8.7,457765
爱在黎明破晓前,缘分是个连绵词，最美不过一瞬。,106,8.8,281768
喜剧之王,我是一个演员。,107,8.6,420514
上帝之城,被上帝抛弃了的上帝之城。,108,8.9,183903
小森林 夏秋篇,那些静得只能听见呼吸的日子里，你明白孤独即生活。,109,8.9,186946
侧耳倾听,少女情怀总是诗。,110,8.8,219541
倩女幽魂,两张绝世的脸。 ,111,8.7,340039
风之谷,动画片的圣经。,112,8.8,218456
恐怖直播,恐怖分子的“秋菊打官司”。,113,8.7,299808
红辣椒,梦的勾结。,114,8.9,177679
超脱,穷尽一生，我们要学会的，不过是彼此拥抱。,115,8.8,223876
爱在日落黄昏时,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,116,8.8,247538
菊次郎的夏天,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,117,8.8,240324
驯龙高手,和谐的生活离不开摸头与被摸头。,118,8.7,363966
幸福终点站,有时候幸福需要等一等。 ,119,8.7,275509
请以你的名字呼唤我,沉醉在电影的情感和视听氛围中无法自拔。,120,8.8,260088
杀人回忆,关于连环杀人悬案的集体回忆。,121,8.7,262761
神偷奶爸,Mr. I Don't Care其实也有Care的时候。,122,8.5,491989
借东西的小人阿莉埃蒂,曾经的那段美好会沉淀为一辈子的记忆。,123,8.7,269915
哈利·波特与死亡圣器(下),10年的完美句点。,124,8.7,353158
小森林 冬春篇,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,125,9.0,162665
七武士,时代悲歌。,126,9.2,97359
岁月神偷,岁月流逝，来日可追。,127,8.6,360109
怪兽电力公司,不要给它起名字，起了名字就有感情了。,128,8.6,313111
7号房的礼物,《我是山姆》的《美丽人生》。,129,8.8,231060
真爱至上,爱，是个动词。,130,8.5,388601
谍影重重3,像吃了苏打饼一样干脆的电影。,131,8.7,225205
电锯惊魂,真相就在眼前。,132,8.7,247013
萤火虫之墓,幸福是生生不息，却难以触及的远。 ,133,8.7,245736
萤火之森,触不到的恋人。,134,8.8,214144
疯狂原始人,老少皆宜，这就是好莱坞动画的魅力。,135,8.7,456479
东邪西毒,电影诗。,136,8.6,317295
喜宴,中国家庭的喜怒哀乐忍。,137,8.8,173342
超能陆战队,Balalala~~~,138,8.6,479329
贫民窟的百万富翁,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,139,8.5,458776
唐伯虎点秋香,华太师是黄霑，吴镇宇四大才子之一。,140,8.5,450189
蝙蝠侠：黑暗骑士崛起,诺兰就是保证。,141,8.6,362791
记忆碎片,一个针管引发的血案。,142,8.6,337443
黑天鹅,黑暗之美。,143,8.5,497843
英雄本色,英雄泪短，兄弟情长。 ,144,8.6,230504
心迷宫,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,145,8.7,238097
雨人,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,146,8.7,243757
傲慢与偏见,爱是摈弃傲慢与偏见之后的曙光。,147,8.5,376178
无人知晓,我的平常生活就是他人的幸福。,148,9.1,101947
荒蛮故事,始于荒诞，止于更荒诞。,149,8.8,190435
卢旺达饭店,当这个世界闭上双眼，他却敞开了怀抱。,150,8.9,146302
纵横四海,香港浪漫主义警匪动作片的巅峰之作。,151,8.7,192884
血战钢锯岭,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,152,8.7,408402
时空恋旅人,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,153,8.7,259695
教父3,任何信念的力量，都无法改变命运。,154,8.8,165237
海边的曼彻斯特,我们都有权利不与自己的过去和解。,155,8.6,259995
玩具总动员3,跨度十五年的欢乐与泪水。,156,8.8,235558
海洋,大海啊，不全是水。,157,9.0,109531
花样年华,偷情本没有这样美。,158,8.6,300748
完美的世界,坏人的好总是比好人的好来得更感人。,159,9.0,103784
达拉斯买家俱乐部,Jared Leto的腿比女人还美！,160,8.7,233295
虎口脱险,永远看不腻的喜剧。,161,8.9,126696
恋恋笔记本,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,162,8.5,344418
你看起来好像很好吃,感情不分食草或者食肉。,163,8.8,181163
燃情岁月,传奇，不是每个人都可以拥有。,164,8.7,170135
二十二,有一些东西不应该被遗忘。,165,8.7,141751
雨中曲,骨灰级歌舞片。,166,9.0,110844
冰川时代,松鼠才是角儿。,167,8.5,334537
我是山姆,爱并不需要智商 。,168,8.8,131398
穿越时空的少女,爱上未来的你。 ,169,8.6,221739
魂断蓝桥,中国式内在的美国电影。,170,8.8,150934
头脑特工队,愿我们都不用长大，每一座城堡都能永远存在。,171,8.7,293580
被解救的姜戈,热血沸腾，那个低俗、性感的无耻混蛋又来了。,172,8.6,313508
猜火车,不可猜的青春迷笛。 ,173,8.5,285392
